# kappa for all individual biomes and models based on the PFT-biomisations, against RF99

        Model	       MPI-T63 MPI-T31 IPSL31  IPSL63  HadGEM2 CLIM-LPJ MIROC  CLIMBER
1	trop.forest	0.86	0.68	0.62	0.70	0.71	0.67	0.56	0.58
2	warm.forest	0.18	0.00	0.00	0.10	0.05	0.08	0.00	-2.00
3	temp.forest	0.69	0.57	0.50	0.36	0.59	0.20	0.38	0.67
4	bor.forest	0.79	0.39	0.77	0.53	0.67	0.52	0.61	0.73
5	Savanna 	0.75	0.44	0.66	0.47	0.22	0.13	0.13	0.25
6	Grassland	0.69	0.56	0.62	0.48	0.35	0.40	0.19	0.33
7	Desert		0.87	0.83	0.84	0.76	0.70	0.63	0.80	0.64
8	Tundra		0.69	0.40	0.55	0.62	0.30	0.46	0.32	0.32
9	pol.desert	0.99	0.98	0.99	0.99	0.97	0.96	0.99	0.94
0	total		0.79	0.62	0.72	0.63	0.62	0.56	0.54	0.60
