-5.21	35.02	-1
-4.09	33.84	-1
11.08	33.27	-1
5	33.05	-1
-5.55	32.68	-1
5.2	32.18	-1
2.5	31.67	0
34.07	31.65	-1
35.03	31.45	-1
28.1	27.1	-1
34	26.25	-1
10.89	25.76	-1
10.5	25.5	-1
26.43	23.22	-1
66.5	23.12	-1
57.35	23.08	-1
-4.02	22.65	0
-3.67	22.57	0
-13.32	21.98	0
29.17	21.37	-1
-0.68	21.22	-1
-12.22	20.93	0
27.68	20.92	-1
-0.85	20.6	-1
6.32	20.47	-1
9.01	20.29	-1
9.19	20.18	-1
26.18	19.27	-1
20.31	19.03	-1
17.9	18.9	-1
25.33	18.66	-1
13.08	18.6	0
26.15	18.17	-1
11.3	18.1	0
57.59	18	-1
27.5	17.6	-1
13.13	17.53	0
54.3	17.17	-1
27.3	16.97	-1
27.63	16.6	0
11.25	16	1
18.02	15.42	0
32.22	15.42	0
26.35	15.35	0
-0.13	14.65	1
-3.07	14.6	1
16.5	13.73	1
11.67	13.32	1
11.08	13.31	1
10.93	13.3	1
11.02	13.3	1
11.56	13.25	1
11.55	13.22	1
14.57	13.15	1
12	12.83	1
39.48	12.58	1
37.25	12	0
39.71	11.35	1
41.8	11.2	-1
12.13	10.38	1
12.78	20.17	-1
38.83	7.98	1
38.67	7.67	1
13.73	7.32	1
13.58	7.25	1
2.43	7.15	1
38.55	7.1	-1
38.1	7.06	0
39.82	6.87	-1
2.6	6.61	1
-1.42	6.5	1
10.32	6.45	1
2.58	6.44	1
2.77	6.43	1
10.23	5.93	0
10.05	5.85	0
10.33	5.53	1
23.08	5.08	1
36.78	4.84	-1
9.4	4.67	1
10.75	3.8	1
36.06	3.43	-1
10.67	2.67	1
16.93	2.24	1
16.51	2.16	1
36.5	2	-1
17.17	1.33	1
29.8	1.28	1
33.33	0.3	-1
36.58	0.3	-1
37.51	0.05	-1
37.35	-0.15	-1
10.47	-0.2	-1
29.58	-0.32	-1
29.58	-0.41	-1
36.35	-0.78	-1
37.35	-3.08	-1
37.7	-3.32	-1
29.62	-3.43	1
29.53	-3.45	1
15.35	-3.52	1
29.68	-3.58	1
29.77	-3.7	1
12.8	-3.84	1
29.67	-3.92	1
15.38	-4.07	1
