# FSS for all individual biomes and models based on the BIOME1(climate)-biomisations, against RF99

        Model	       MPI-T63 MPI-T31 IPSL31  IPSL63  HadGEM2 CLIM-LPJ MIROC  CLIMBER CRUTS4-T63
1	trop.forest	0.19	0.19	0.04	0.35	0.22	0.34	-0.10	0.18	0.16
2	warm.forest	-0.21	-0.48	-0.49	-0.38	-0.23	-0.07	-0.50	-0.51	-0.38
3	temp.forest	0.27	0.21	0.23	0.24	0.26	0.27	0.08	-0.15	0.25
4	bor.forest	0.18	-0.21	0.28	0.24	0.29	-0.01	0.24	0.14	0.23
5	Savanna		0.14	0.11	-0.02	0.20	0.07	0.18	0.16	-0.06	0.18
6	Grassland	0.08	0.08	-0.04	0.18	0.06	0.12	0.22	-0.03	0.19
7	Desert		0.28	0.19	0.02	0.17	0.15	0.15	0.42	0.36	0.21
8	Tundra		0.10	-0.17	0.08	0.11	0.23	0.03	0.20	-0.19	0.00
9	pol.desert	0.32	0.31	0.30	0.29	0.31	0.29	0.32	0.29	0.30
0	total		0.15	0.03	0.05	0.15	0.15	0.14	0.11	0.00	0.13
